DEBUG 2024-05-17 08:35:18,632 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\scrap\admin.py first seen with mtime 1715500966.2539146
DEBUG 2024-05-17 08:35:18,633 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1714980981.9303937
DEBUG 2024-05-17 08:35:18,633 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\sessions\models.py first seen with mtime 1714980986.0181599
DEBUG 2024-05-17 08:35:18,633 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\common\desired_capabilities.py first seen with mtime 1715065725.9841695
DEBUG 2024-05-17 08:35:18,634 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\sqlparse\keywords.py first seen with mtime 1714980981.9213507
DEBUG 2024-05-17 08:35:18,634 autoreload File C:\python310\Lib\ctypes\_endian.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,635 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\views\__init__.py first seen with mtime 1714980987.0260837
DEBUG 2024-05-17 08:35:18,635 autoreload File C:\python310\Lib\sre_parse.py first seen with mtime 1680652042.0
DEBUG 2024-05-17 08:35:18,636 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\scrap\migrations\__init__.py first seen with mtime 1714981122.213212
DEBUG 2024-05-17 08:35:18,636 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\webkitgtk\__init__.py first seen with mtime 1715065726.4602475
DEBUG 2024-05-17 08:35:18,637 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\django\contrib\contenttypes\management\__init__.py first seen with mtime 1714980984.4862702
DEBUG 2024-05-17 08:35:18,637 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\selenium\webdriver\remote\shadowroot.py first seen with mtime 1715065726.439019
DEBUG 2024-05-17 08:35:18,637 autoreload File C:\Users\santo\Desktop\WEB_projects\python-scrap-comparator\.env\Lib\site-packages\charset_normalizer\api.py first seen with mtime 1714981323.06979
DEBUG 2024-05-17 08:35:18,637 autoreload File C:\python310\Lib\asyncio\trsock.py first seen with mtime 1680652042.0
